atom_id	status	notes	files_created_count
accordion_item	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
app_header_appname_dropdown	MATERIALIZED	Generated from spec	20
blackboard	MATERIALIZED	Generated from spec	20
bottom_chat_input_bar	MATERIALIZED	Generated from spec	20
carousel	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
chat_card_v1	MATERIALIZED	Generated from spec	20
chat_icon_band_popover	MATERIALIZED	Generated from spec	20
chat_message_action_bar	MATERIALIZED	Generated from spec	20
chat_message_block	MATERIALIZED	Generated from spec	20
chat_message_list	MATERIALIZED	Generated from spec	20
chat_rail_header_bar	MATERIALIZED	Generated from spec	20
chat_rail_shell	MATERIALIZED	Generated from spec	20
chat_safety_controls_bar	MATERIALIZED	Generated from spec	20
chat_shortcuts_popover	MATERIALIZED	Generated from spec	20
chat_upload_source_picker	MATERIALIZED	Generated from spec	20
cta_button	MATERIALIZED	Generated from spec	26
divider	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
dropdown_header	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
floating_pill_toolbar	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
heading_block	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	27
hero_image	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
icon_divider	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
icon_grid	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
image_media_block	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
lanes_calendar_grid_v1	MATERIALIZED	Generated from spec	31
macro_temp_indicator	MATERIALIZED	Generated from spec	20
main_menu_icon_button	MATERIALIZED	Generated from spec	20
maybes_note	MATERIALIZED	Generated from spec	20
multi_feed_grids	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
multi_feed_tile	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
quote_block	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
rich_text_block	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_blog_posts	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_collection_list	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_custom_markup	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_email_signup	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_featured_collection_grid	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_hero_banner	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_image_with_text	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_media_collage	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_multicolumn_features	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_rich_text	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
section_slideshow	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
theme_card_surface	MATERIALIZED	Generated from spec	20
theme_colour_schemes	MATERIALIZED	Generated from spec	20
theme_layout_settings	MATERIALIZED	Generated from spec	20
theme_typography_settings	MATERIALIZED	Generated from spec	20
video_media_block	PLACEHOLDER_MATERIALIZED	Generated placeholder implementation	19
wireframe_canvas	MATERIALIZED	Generated from spec	23