atom_root	behaviour	layout	views	typography	colours	icons	data_schema	tracking	accessibility	exposed_tokens
./aitom_family/accordion_item	1	1	1	1	1	1	1	1	1	1
./aitom_family/app_header_appname_dropdown	1	1	1	1	1	1	1	1	1	1
./aitom_family/blackboard	1	1	1	1	1	1	1	1	1	1
./aitom_family/borderless_big_chat	1	1	1	1	1	1	1	1	1	1
./aitom_family/bottom_chat_input_bar	1	1	1	1	1	1	1	1	1	1
./aitom_family/button_group	1	1	1	1	1	1	1	1	1	1
./aitom_family/button_single	1	1	1	1	1	1	1	1	1	1
./aitom_family/calendar	1	1	1	1	1	1	1	1	1	1
./aitom_family/carousel	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_card_v1	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_fullscreen_view	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_icon_band_popover	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_message_action_bar	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_message_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_message_list	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_rail	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_rail_header_bar	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_rail_settings	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_rail_shell	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_rail_sliders	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_rail_tools	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_safety_controls_bar	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_settings	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_shortcuts_popover	1	1	1	1	1	1	1	1	1	1
./aitom_family/chat_upload_source_picker	1	1	1	1	1	1	1	1	1	1
./aitom_family/cluster_popup	1	1	1	1	1	1	1	1	1	1
./aitom_family/cluster_rep	1	1	1	1	1	1	1	1	1	1
./aitom_family/cta_button	1	1	1	1	1	1	1	1	1	1
./aitom_family/deliverability_email_settings	1	1	1	1	1	1	1	1	1	1
./aitom_family/desktop_floating_chat	1	1	1	1	1	1	1	1	1	1
./aitom_family/divider	1	1	1	1	1	1	1	1	1	1
./aitom_family/dropdown_header	1	1	1	1	1	1	1	1	1	1
./aitom_family/element_aeo_settings	1	1	1	1	1	1	1	1	1	1
./aitom_family/email_from	1	1	1	1	1	1	1	1	1	1
./aitom_family/email_subject_line	1	1	1	1	1	1	1	1	1	1
./aitom_family/fed_popup	1	1	1	1	1	1	1	1	1	1
./aitom_family/fed_rep	1	1	1	1	1	1	1	1	1	1
./aitom_family/floating_pill_toolbar	1	1	1	1	1	1	1	1	1	1
./aitom_family/form_body_text	1	1	1	1	1	1	1	1	1	1
./aitom_family/haze_fpv_canvas	1	1	0	0	1	0	1	0	0	1
./aitom_family/heading_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/hero_image	1	1	1	1	1	1	1	1	1	1
./aitom_family/icon_divider	1	1	1	1	1	1	1	1	1	1
./aitom_family/icon_grid	1	1	1	1	1	1	1	1	1	1
./aitom_family/image_media_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/jumbo_header	1	1	1	1	1	1	1	1	1	1
./aitom_family/lanes-viewer	1	1	1	1	1	1	1	1	1	1
./aitom_family/lanes_calendar_grid_v1	1	1	1	1	1	1	1	1	1	1
./aitom_family/layout_columns_grid	1	1	1	1	1	1	1	1	1	1
./aitom_family/layout_divider_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/layout_group_container	1	1	1	1	1	1	1	1	1	1
./aitom_family/layout_spacer_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/logo_insert	1	1	1	1	1	1	1	1	1	1
./aitom_family/macro_temp_indicator	1	1	1	1	1	1	1	1	1	1
./aitom_family/main_menu_icon_button	1	1	1	1	1	1	1	1	1	1
./aitom_family/max_header	1	1	1	1	1	1	1	1	1	1
./aitom_family/maybes_note	1	1	1	1	1	1	1	1	1	1
./aitom_family/maybes_text_file_explorer	1	1	1	1	1	1	1	1	1	1
./aitom_family/micro_public_chat	1	1	1	1	1	1	1	1	1	1
./aitom_family/minimal_header	1	1	1	1	1	1	1	1	1	1
./aitom_family/multi_feed_grids	1	1	1	1	1	1	1	1	1	1
./aitom_family/multi_feed_tile	1	1	1	1	1	1	1	1	1	1
./aitom_family/nexus	1	1	1	1	1	1	1	1	1	1
./aitom_family/page_seo_settings	1	1	1	1	1	1	1	1	1	1
./aitom_family/page_tracking_settings	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_buy_buttons_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_collapsible_section	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_description_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_info_stack	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_media_gallery	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_price_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_recommendations_section	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_title_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/product_variant_picker	1	1	1	1	1	1	1	1	1	1
./aitom_family/quote_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/rich_text_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_blog_posts	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_collection_list	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_custom_markup	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_email_signup	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_featured_collection_grid	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_hero_banner	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_image_with_text	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_media_collage	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_multicolumn_features	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_rich_text	1	1	1	1	1	1	1	1	1	1
./aitom_family/section_slideshow	1	1	1	1	1	1	1	1	1	1
./aitom_family/signup	1	1	1	1	1	1	1	1	1	1
./aitom_family/surface_header_nano	1	1	1	1	1	1	1	1	1	1
./aitom_family/surface_header_shell_micro	1	1	1	1	1	1	1	1	1	1
./aitom_family/surface_header_shell_standard	1	1	1	1	1	1	1	1	1	1
./aitom_family/surface_logo_centerpiece	1	1	1	1	1	1	1	1	1	1
./aitom_family/swarm_chat_bars	1	1	1	1	1	1	1	1	1	1
./aitom_family/swarm_group_chat_bar	1	1	1	1	1	1	1	1	1	1
./aitom_family/table_insert	1	1	1	1	1	1	1	1	1	1
./aitom_family/theme_card_surface	1	1	1	1	1	1	1	1	1	1
./aitom_family/theme_colour_schemes	1	1	1	1	1	1	1	1	1	1
./aitom_family/theme_layout_settings	1	1	1	1	1	1	1	1	1	1
./aitom_family/theme_typography_settings	1	1	1	1	1	1	1	1	1	1
./aitom_family/video_media_block	1	1	1	1	1	1	1	1	1	1
./aitom_family/wireframe_canvas	1	1	1	1	1	1	1	1	1	1
